±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ,¹ß»ýÀÏ½Ã_³â,¹ß»ýÀÏ½Ã_¿ù,¹ß»ýÀÏ½Ã_ÀÏ,°èÀý
28.6,42,50,4.4,1,2018,8,17,¿©¸§
21.4,25,230,4.9,1,2005,4,26,º½
15.2,13,230,2.6,1,2013,3,27,º½
3.2,29,110,1.3,1,2019,1,27,°Ü¿ï
17.2,30,200,1.7,1,2019,5,7,º½
1.9,31,250,2.8,1,2019,1,20,°Ü¿ï
12.6,26,180,1.7,1,2018,3,22,º½
12.9,36,250,1.8,1,2019,2,27,°Ü¿ï
4.3,33,230,3.6,1,2016,2,4,°Ü¿ï
28.1,20,320,3.6,1,2015,6,3,¿©¸§
34,43,70,4.5,1,2018,7,29,¿©¸§
13.5,40,270,1.6,1,2016,4,11,º½
15.9,38,180,0.9,1,2016,3,18,º½
27.8,9,250,4.5,1,2018,4,21,º½
23.1,17,200,3.1,1,2017,4,29,º½
13.3,41,90,0.5,1,2013,5,6,º½
11.6,42,200,1.1,1,2011,4,13,º½
8.6,27,250,4.8,1,2015,3,9,º½
13.7,27,200,1.3,1,2017,4,13,º½
10.2,31,160,2.4,1,2017,3,14,º½
13.1,38,230,3.8,1,2017,3,12,º½
-4,29,230,2.2,1,2016,1,25,°Ü¿ï
14.3,32,70,0.9,1,2013,3,9,º½
5.1,20,250,3.4,1,2011,3,9,º½
1.3,68,0,0.1,1,2010,11,22,°¡À»
20.6,31,230,1.5,1,2010,5,10,º½
11.1,32,0,0,1,2007,3,1,º½
17.9,82,70,0.7,1,2006,5,22,º½
24.6,18,180,2.4,1,2019,5,2,º½
20.3,48,230,2.2,1,2018,3,14,º½
15.7,65,0,0.3,1,2017,6,3,¿©¸§
8.1,26,20,0.9,1,2015,3,7,º½
4.7,76,270,6,1,2019,3,12,º½
27.2,78,340,1.2,1,2018,8,1,¿©¸§
20.8,22,230,4.3,1,2017,5,7,º½
-14.4,72,0,0.4,1,2016,1,26,°Ü¿ï
19.3,34,250,2.2,1,2015,3,30,º½
2.9,29,360,0.5,1,2015,2,1,°Ü¿ï
24.4,30,200,1.4,1,2013,5,6,º½
27.7,40,90,2.1,1,2012,6,19,¿©¸§
20,39,230,0.8,1,2011,10,13,°¡À»
28.8,39,270,1.6,1,2011,6,15,¿©¸§
19.6,12,230,1.8,1,2011,4,16,º½
12.7,35,0,0.4,1,2011,4,5,º½
4.9,21,180,1.1,1,2010,11,26,°¡À»
15.7,30,50,3.2,1,2010,4,11,º½
26.4,15,230,1.4,1,2009,4,10,º½
17.2,31,180,1,1,2009,4,5,º½
15.1,29,250,1.5,1,2009,4,3,º½
26.8,16,270,1.3,1,2008,4,18,º½
9.4,31,160,1.4,1,2006,11,12,°¡À»
8.2,23,180,1.6,1,2005,11,17,°¡À»
29,55,50,4.8,0,2018,8,17,¿©¸§
21.7,16,270,5.4,0,2005,4,26,º½
10.7,19,230,2.3,0,2013,3,27,º½
2.6,23,180,2,0,2019,1,27,°Ü¿ï
16.4,15,360,4.3,0,2019,5,7,º½
0.2,56,320,0.7,0,2019,1,20,°Ü¿ï
4.9,43,360,3.4,0,2018,3,22,º½
10.7,20,160,1.3,0,2019,2,27,°Ü¿ï
-0.5,33,180,1,0,2016,2,4,°Ü¿ï
30.7,27,250,2.3,0,2015,6,3,¿©¸§
35.3,50,70,2.5,0,2018,7,29,¿©¸§
15.8,51,90,3.9,0,2016,4,11,º½
13.1,23,180,1,0,2016,3,18,º½
29,29,250,1.8,0,2018,4,21,º½
20.8,29,230,3.2,0,2017,4,29,º½
9.8,93,0,0.1,0,2013,5,6,º½
9.9,20,160,1.5,0,2011,4,13,º½
12.1,28,360,1.1,0,2015,3,9,º½
15.3,14,290,1.5,0,2017,4,13,º½
9.9,43,250,1.7,0,2017,3,14,º½
16.1,18,230,2.1,0,2017,3,12,º½
-9.8,33,230,3.6,0,2016,1,25,°Ü¿ï
9.4,54,180,2.4,0,2013,3,9,º½
6.2,40,250,3,0,2011,3,9,º½
5.9,92,0,0.4,0,2010,11,22,°¡À»
23.5,32,270,1.5,0,2010,5,10,º½
10.5,34,0,0.4,0,2007,3,1,º½
13.8,79,0,0.1,0,2006,5,22,º½
24.1,29,250,2.4,0,2019,5,2,º½
17.3,41,250,2.5,0,2018,3,14,º½
12,95,270,1.4,0,2017,6,3,¿©¸§
6.5,34,230,1.4,0,2015,3,7,º½
11.8,42,200,4.3,0,2019,3,12,º½
26.4,75,20,0.8,0,2018,8,1,¿©¸§
17.1,41,230,4,0,2017,5,7,º½
-17.6,70,50,0.6,0,2016,1,26,°Ü¿ï
16.6,36,290,1.8,0,2015,3,30,º½
1.6,36,110,0.8,0,2015,2,1,°Ü¿ï
22.8,23,230,4.2,0,2013,5,6,º½
25.4,43,320,1.5,0,2012,6,19,¿©¸§
16.3,61,360,0.5,0,2011,10,13,°¡À»
27.8,38,340,1.6,0,2011,6,15,¿©¸§
16.9,64,250,4.4,0,2011,4,16,º½
11.4,43,270,0.8,0,2011,4,5,º½
8.4,22,230,3.5,0,2010,11,26,°¡À»
11.4,66,230,2.3,0,2010,4,11,º½
26.4,13,200,2.2,0,2009,4,10,º½
12.5,44,230,3.1,0,2009,4,5,º½
14.7,20,200,2.5,0,2009,4,3,º½
21.6,41,70,2.1,0,2008,4,18,º½
11.4,21,230,2,0,2006,11,12,°¡À»
8.6,20,140,1.9,0,2005,11,17,°¡À»
34.7,54,320,1.5,0,2018,8,17,¿©¸§
20.8,27,250,2.1,0,2005,4,26,º½
8.2,25,200,2.6,0,2013,3,27,º½
4.2,20,230,2.5,0,2019,1,27,°Ü¿ï
20.7,43,360,1.1,0,2019,5,7,º½
0.7,37,180,0.7,0,2019,1,20,°Ü¿ï
3.6,55,70,5.1,0,2018,3,22,º½
11.7,26,110,1.5,0,2019,2,27,°Ü¿ï
-2.1,28,250,1.6,0,2016,2,4,°Ü¿ï
28.7,24,180,1.9,0,2015,6,3,¿©¸§
34.5,55,320,1.2,0,2018,7,29,¿©¸§
15.1,67,200,3.9,0,2016,4,11,º½
13.7,23,200,3,0,2016,3,18,º½
22.5,29,230,4.1,0,2018,4,21,º½
17.9,26,250,5.2,0,2017,4,29,º½
10.4,97,0,0.1,0,2013,5,6,º½
5.3,47,0,0.3,0,2011,4,13,º½
10,23,180,1.5,0,2015,3,9,º½
15.1,42,20,0.8,0,2017,4,13,º½
6.6,59,320,0.5,0,2017,3,14,º½
11.9,22,250,2.6,0,2017,3,12,º½
-9.5,32,250,3.5,0,2016,1,25,°Ü¿ï
5.4,93,0,0.1,0,2013,3,9,º½
6.5,27,270,3.4,0,2011,3,9,º½
2.7,90,0,0,0,2010,11,22,°¡À»
21.9,28,200,1.1,0,2010,5,10,º½
9.5,46,70,0.7,0,2007,3,1,º½
12.8,89,340,0.8,0,2006,5,22,º½
22.2,36,140,1.9,0,2019,5,2,º½
12.5,37,180,1.7,0,2018,3,14,º½
16.3,88,360,0.5,0,2017,6,3,¿©¸§
1.7,36,230,1.4,0,2015,3,7,º½
13.9,31,70,3.5,0,2019,3,12,º½
28.2,65,320,1.1,0,2018,8,1,¿©¸§
23.4,48,250,4.3,0,2017,5,7,º½
-17.3,49,270,1,0,2016,1,26,°Ü¿ï
16,17,230,3.3,0,2015,3,30,º½
1.5,32,270,2.7,0,2015,2,1,°Ü¿ï
18.6,41,180,1.9,0,2013,5,6,º½
24.5,52,230,1.2,0,2012,6,19,¿©¸§
21.6,45,230,1.5,0,2011,10,13,°¡À»
25.4,51,230,2.4,0,2011,6,15,¿©¸§
18.8,19,230,2.3,0,2011,4,16,º½
11.7,30,20,0.9,0,2011,4,5,º½
9.9,55,70,0.5,0,2010,11,26,°¡À»
16.5,31,200,1.1,0,2010,4,11,º½
24.5,16,230,2.1,0,2009,4,10,º½
15.1,29,250,1.5,0,2009,4,5,º½
10.3,34,230,1.4,0,2009,4,3,º½
27.2,18,320,2.6,0,2008,4,18,º½
12,29,180,1.3,0,2006,11,12,°¡À»
8.1,18,290,1.1,0,2005,11,17,°¡À»
33.5,58,290,1.6,0,2018,8,17,¿©¸§
19.7,22,250,1.8,0,2005,4,26,º½
11.4,22,230,3.1,0,2013,3,27,º½
4.7,22,110,1.5,0,2019,1,27,°Ü¿ï
20,39,20,1.3,0,2019,5,7,º½
1.9,40,180,2,0,2019,1,20,°Ü¿ï
8.3,63,50,5.8,0,2018,3,22,º½
12.5,30,200,3.4,0,2019,2,27,°Ü¿ï
-1,26,200,1.9,0,2016,2,4,°Ü¿ï
27.5,28,250,1.1,0,2015,6,3,¿©¸§
33.3,57,230,2.6,0,2018,7,29,¿©¸§
15.6,55,230,2,0,2016,4,11,º½
10.2,26,140,1.5,0,2016,3,18,º½
22,14,230,2.9,0,2018,4,21,º½
19,17,270,4.2,0,2017,4,29,º½
10.2,93,0,0.3,0,2013,5,6,º½
8.4,94,0,0.1,0,2011,4,13,º½
8.2,32,340,1.4,0,2015,3,9,º½
15.5,19,250,1.9,0,2017,4,13,º½
9.4,26,110,0.9,0,2017,3,14,º½
8.4,41,320,4.8,0,2017,3,12,º½
-2.8,28,250,1.4,0,2016,1,25,°Ü¿ï
9.8,22,160,1.6,0,2013,3,9,º½
8.8,41,230,1.4,0,2011,3,9,º½
0.3,95,0,0,0,2010,11,22,°¡À»
21.3,30,230,4.8,0,2010,5,10,º½
11,32,320,1.1,0,2007,3,1,º½
15.8,81,340,0.5,0,2006,5,22,º½
16.2,45,320,1,0,2019,5,2,º½
12.8,22,200,2.2,0,2018,3,14,º½
13.7,70,340,1.3,0,2017,6,3,¿©¸§
1.4,32,270,5.1,0,2015,3,7,º½
13.3,15,230,1.7,0,2019,3,12,º½
28.3,69,290,0.5,0,2018,8,1,¿©¸§
25.2,35,230,0.6,0,2017,5,7,º½
-7.3,36,230,2.5,0,2016,1,26,°Ü¿ï
16.6,26,160,1.3,0,2015,3,30,º½
-0.1,57,0,0.2,0,2015,2,1,°Ü¿ï
16.3,48,180,1.4,0,2013,5,6,º½
24.9,52,230,1.6,0,2012,6,19,¿©¸§
19.8,51,140,0.7,0,2011,10,13,°¡À»
27.6,51,230,1.5,0,2011,6,15,¿©¸§
17.8,25,230,3.2,0,2011,4,16,º½
9.5,45,50,2.6,0,2011,4,5,º½
11,34,290,0.7,0,2010,11,26,°¡À»
15.3,24,230,1.3,0,2010,4,11,º½
22.3,18,160,0.8,0,2009,4,10,º½
14.7,20,200,2.5,0,2009,4,5,º½
8.5,59,270,2.8,0,2009,4,3,º½
25.1,18,230,1.2,0,2008,4,18,º½
18.5,33,200,3.7,0,2006,11,12,°¡À»
12.3,20,250,1.4,0,2005,11,17,°¡À»
33.2,59,230,3,0,2018,8,17,¿©¸§
18,21,270,4,0,2005,4,26,º½
10.3,28,200,1.5,0,2013,3,27,º½
7.4,28,230,3.3,0,2019,1,27,°Ü¿ï
19.7,30,110,1.6,0,2019,5,7,º½
-5.9,47,230,1.6,0,2019,1,20,°Ü¿ï
11.3,42,230,2.1,0,2018,3,22,º½
11.3,28,70,3.5,0,2019,2,27,°Ü¿ï
1.2,25,230,2.8,0,2016,2,4,°Ü¿ï
21.7,68,180,2.4,0,2015,6,3,¿©¸§
33.2,59,200,1.9,0,2018,7,29,¿©¸§
16.5,61,200,1.7,0,2016,4,11,º½
8.5,43,50,0.9,0,2016,3,18,º½
21.2,24,200,2.4,0,2018,4,21,º½
19.9,30,230,3.7,0,2017,4,29,º½
8.4,89,360,0.7,0,2013,5,6,º½
6.6,59,0,0,0,2011,4,13,º½
3.5,32,110,1.3,0,2015,3,9,º½
14.3,51,50,5.1,0,2017,4,13,º½
8.1,28,250,1.5,0,2017,3,14,º½
3.4,55,250,4.2,0,2017,3,12,º½
-2,29,200,0.8,0,2016,1,25,°Ü¿ï
7.6,35,180,2.4,0,2013,3,9,º½
6.6,37,230,2.7,0,2011,3,9,º½
1.4,88,0,0,0,2010,11,22,°¡À»
19.4,72,200,3.2,0,2010,5,10,º½
10.1,39,270,1.2,0,2007,3,1,º½
13.4,79,20,1,0,2006,5,22,º½
14.6,50,250,1.4,0,2019,5,2,º½
9.2,41,230,3.4,0,2018,3,14,º½
17.2,97,20,1.1,0,2017,6,3,¿©¸§
3.2,94,20,0.5,0,2015,3,7,º½
13.8,24,200,2.9,0,2019,3,12,º½
28.4,85,360,2,0,2018,8,1,¿©¸§
27.2,26,250,1.7,0,2017,5,7,º½
-13.7,84,0,0.3,0,2016,1,26,°Ü¿ï
14.8,19,110,1,0,2015,3,30,º½
3.8,40,200,0.9,0,2015,2,1,°Ü¿ï
15.8,47,50,1.6,0,2013,5,6,º½
21.9,60,340,2.4,0,2012,6,19,¿©¸§
18.7,54,340,0.6,0,2011,10,13,°¡À»
28.3,39,250,1.4,0,2011,6,15,¿©¸§
15.8,11,200,3.6,0,2011,4,16,º½
13,29,230,1.5,0,2011,4,5,º½
10.6,27,320,4.4,0,2010,11,26,°¡À»
12.1,24,250,1.6,0,2010,4,11,º½
19.9,15,270,2.6,0,2009,4,10,º½
10.3,34,230,1.4,0,2009,4,5,º½
10.8,41,50,1.3,0,2009,4,3,º½
22,32,180,0.7,0,2008,4,18,º½
10.8,70,50,0.8,0,2006,11,12,°¡À»
9.3,44,320,0.5,0,2005,11,17,°¡À»
32.2,57,250,1.8,0,2018,8,17,¿©¸§
15.7,24,230,4.9,0,2005,4,26,º½
6.9,53,200,2.6,0,2013,3,27,º½
5.6,49,230,3.4,0,2019,1,27,°Ü¿ï
19.8,30,180,1.6,0,2019,5,7,º½
1.6,53,200,2.7,0,2019,1,20,°Ü¿ï
10.7,34,160,1.4,0,2018,3,22,º½
8.4,41,200,1.2,0,2019,2,27,°Ü¿ï
5.8,47,50,0.6,0,2016,2,4,°Ü¿ï
29.9,36,250,3,0,2015,6,3,¿©¸§
35,49,250,2.5,0,2018,7,29,¿©¸§
15.9,37,320,0.9,0,2016,4,11,º½
4.3,83,340,0.5,0,2016,3,18,º½
19.2,25,230,1.4,0,2018,4,21,º½
20.4,27,250,5.1,0,2017,4,29,º½
10.4,61,50,2.3,0,2013,5,6,º½
8.6,56,0,0,0,2011,4,13,º½
1.8,31,250,4.6,0,2015,3,9,º½
17.5,52,270,1.9,0,2017,4,13,º½
6.3,49,230,4.1,0,2017,3,14,º½
3.7,24,270,3.5,0,2017,3,12,º½
-5.4,36,250,0.6,0,2016,1,25,°Ü¿ï
3.9,58,320,0.5,0,2013,3,9,º½
6.3,25,270,2.6,0,2011,3,9,º½
1.7,84,0,0,0,2010,11,22,°¡À»
25.4,33,230,2.9,0,2010,5,10,º½
7.1,32,250,1.1,0,2007,3,1,º½
10.9,78,360,0.5,0,2006,5,22,º½
17.9,30,230,2.2,0,2019,5,2,º½
8.3,44,250,1.2,0,2018,3,14,º½
18.9,90,340,0.7,0,2017,6,3,¿©¸§
7,32,230,2.5,0,2015,3,7,º½
13.7,32,250,1.5,0,2019,3,12,º½
27.4,90,360,0.7,0,2018,8,1,¿©¸§
25.6,30,200,1.5,0,2017,5,7,º½
-12.9,76,90,0.8,0,2016,1,26,°Ü¿ï
12.3,19,200,1.9,0,2015,3,30,º½
2.2,48,250,2.3,0,2015,2,1,°Ü¿ï
17.3,29,90,1.3,0,2013,5,6,º½
22.1,62,360,2.3,0,2012,6,19,¿©¸§
20.8,29,160,1.3,0,2011,10,13,°¡À»
23.9,57,250,1,0,2011,6,15,¿©¸§
15,12,270,3,0,2011,4,16,º½
9.7,49,340,0.6,0,2011,4,5,º½
10.7,57,90,0.8,0,2010,11,26,°¡À»
10.2,34,290,2.1,0,2010,4,11,º½
17.7,22,200,1.7,0,2009,4,10,º½
8.5,59,270,2.8,0,2009,4,5,º½
11.5,28,290,1.7,0,2009,4,3,º½
14.1,70,140,0.8,0,2008,4,18,º½
6.3,36,270,3.6,0,2006,11,12,°¡À»
13.7,19,20,0.6,0,2005,11,17,°¡À»
