최고기온,온열질환자,풍속,상대습도
23.62857143,1,1.628571429,73.01428571
21.55714286,0,1.414285714,78.71428571
24.9,5,1.728571429,71.14285714
26.58571429,1,1.371428571,73.27142857
26.2,4,1.514285714,77.21428571
29.71428571,2,2.014285714,64.75714286
31.91428571,7,2.314285714,52.22857143
31.65714286,7,2.757142857,62.24285714
30.38571429,5,1.657142857,65.81428571
27.74285714,1,1.614285714,79.71428571
26.98571429,0,1.814285714,74.2
25.74285714,1,1.557142857,80.65714286
25.12857143,0,1.657142857,75.88571429
26.4,0,1.971428571,67.52857143
27.91428571,4,2.05,46.7
27.6,0,2.514285714,41.58571429
25.38571429,1,1.828571429,61.12857143
22.21428571,0,1.471428571,78.51428571
24.18571429,1,1.842857143,76.48571429
26.48571429,2,2.028571429,67.57142857
24.1,8,1.214285714,77.58571429
26.55714286,0,2.728571429,65.87142857
25.7,4,1.014285714,81.65714286
33.7,13,2.328571429,58.14285714
33.78571429,23,2,62.2
30.1,10,1.857142857,68.85714286
28.78571429,4,1.7,71.68571429
26.85714286,0,2.514285714,68.77142857
26.58571429,1,1.728571429,75.58571429
26.2,3,2.285714286,49.41428571
27.41428571,3,2.214285714,44.54285714
24.72857143,3,1.571428571,71.32857143
26.21428571,3,2.085714286,67.91428571
24.74285714,3,1.485714286,74.88571429
28.34285714,1,1.8,66.81428571
25.2,7,1.214285714,78.42857143
26.95714286,5,1.414285714,76.52857143
25.25714286,8,1.328571429,78.51428571
31.82857143,11,1.9,63.75714286
30.8,13,1.514285714,71.44285714
32.95714286,17,2.014285714,64.77142857
31.18571429,10,1.728571429,72.28571429
29.07142857,5,2.042857143,69.11428571
23.47142857,0,2.357142857,73.7
25.77142857,0,1.528571429,79.17142857
24.41428571,0,1.5,77.78571429
23.21428571,0,1.957142857,72.18571429
26.47142857,0,2.457142857,47.91428571
24.02857143,1,2.442857143,53.47142857
25.1,4,2.128571429,60.55714286
27.91428571,1,1.414285714,64.41428571
28.22857143,3,2,65.34285714
28.37142857,1,1.4,77.01428571
33.64285714,16,2.671428571,54.74285714
32.8,19,2.571428571,59.02857143
26.37142857,6,1.171428571,80.41428571
28.57142857,14,1.414285714,77.04285714
28.38571429,4,1.442857143,78.25714286
23.87142857,1,1.114285714,87.3
30.05714286,3,1.885714286,66.17142857
25.37142857,2,2.3,61.55714286
27.8,0,2.185714286,59.25714286
22.22857143,2,2.271428571,61.58571429
25.02857143,1,1.971428571,67.92857143
28.81428571,1,2.2,50.74285714
20,1,1.971428571,75.38571429
29.6,2,1.914285714,53.8
29.74285714,8,1.928571429,67.62857143
23.67142857,7,1.557142857,90.04285714
26.55714286,17,1.742857143,75.07142857
35.37142857,31,2.442857143,55.47142857
34.98571429,41,1.828571429,64.47142857
32.88571429,54,2.057142857,73.8
30.14285714,15,1.457142857,82.94285714
29.8,17,1.885714286,76.97142857
28.47142857,3,1.814285714,74.11428571
27.71428571,0,1.614285714,79.02857143
26.25714286,1,2.185714286,64.85714286
23.2,2,1.585714286,78.67142857
26.8,7,2.8,67.31428571
27.14285714,1,2.614285714,75.67142857
28.52857143,3,2.642857143,73.72857143
27.97142857,0,2.414285714,75.55714286
29.85714286,4,2.385714286,71.62857143
31.65714286,5,2.657142857,67.72857143
30.78571429,1,2.828571429,74.02857143
29.1,8,3.5,83.48571429
32.91428571,6,2.442857143,68.55714286
29.25714286,3,3.085714286,80.32857143
28.42857143,2,2.157142857,76.61428571
26.45714286,0,2.257142857,87.58571429
29.85714286,0,2.214285714,70.61428571
27.77142857,1,2.171428571,76.68571429
29.17142857,1,2.485714286,43.87142857
28.64285714,2,2.557142857,45.1
30.47142857,2,2.785714286,58.12857143
29.11428571,0,2.471428571,68.97142857
29.4,2,2.4,64.01428571
29.47142857,0,2.871428571,63.25714286
31.45714286,7,2.485714286,59.44285714
29.07142857,4,3.771428571,68.67142857
29.45714286,3,2.128571429,82.9
31.01428571,11,2.785714286,78.9
32.28571429,9,2.885714286,73
31.55714286,7,2.1,70.42857143
30.42857143,1,2.1,70.02857143
28.67142857,1,2.585714286,66.74285714
29.01428571,0,2.228571429,69.2
26.47142857,2,2.128571429,59.7
28.15714286,1,2.214285714,51.57142857
29.04285714,2,1.985714286,60.92857143
27.74285714,3,2.342857143,69.82857143
29.04285714,2,2.028571429,67.94285714
28.7,2,2.257142857,68.42857143
28.02857143,6,2.057142857,75.14285714
30.32857143,6,2.271428571,69.42857143
30.67142857,6,1.971428571,68.81428571
30.6,4,2.314285714,75
33.74285714,37,1.585714286,66.64285714
35.18571429,61,1.985714286,64.85714286
33.97142857,23,1.714285714,65.02857143
32.7,12,2.385714286,59.15714286
25.92857143,0,2.757142857,68.04285714
29.02857143,2,1.642857143,69.87142857
28.94285714,1,1.842857143,65.94285714
27.45714286,0,2.385714286,50.85714286
28.02857143,0,2.6,48.31428571
25.8,3,2.542857143,57.92857143
28.92857143,1,2.471428571,53.68571429
31.22857143,3,2.114285714,52.8
30.34285714,3,2.057142857,69.65714286
29.85714286,8,2.257142857,79.41428571
30.01428571,12,1.928571429,81.45714286
31.77142857,23,1.971428571,75.38571429
30.04285714,9,1.942857143,74.05714286
32.81428571,28,1.785714286,67.9
31.81428571,14,2.128571429,70.88571429
27.61428571,0,2.728571429,76.05714286
29.22857143,2,2.5,76.21428571
26.85714286,0,1.885714286,59.95714286
27.51428571,1,1.514285714,66.65714286
24.61428571,1,1.685714286,50.5
27.47142857,2,1.828571429,55.72857143
28.84285714,3,1.814285714,57.54285714
26.24285714,0,1.414285714,64.11428571
29.07142857,2,1.842857143,58.14285714
28.81428571,3,1.571428571,76.78571429
28.25714286,11,1.228571429,73.71428571
28.47142857,8,1.4,75.9
34.02857143,52,1.6,63.64285714
35.55714286,110,1.685714286,63.48571429
37.45714286,276,1.642857143,54.22857143
35.1,78,1.742857143,66.37142857
35.2,63,1.471428571,54.72857143
32.01428571,4,1.942857143,63.58571429
28.11428571,2,1.428571429,78.15714286
27.58571429,1,1.914285714,63.9
27.52857143,0,1.314285714,57.85714286
24.78571429,0,2.742857143,79.62857143
24.45714286,0,2.257142857,87.44285714
25.67142857,1,2.628571429,85.65714286
26.18571429,0,3.185714286,89.37142857
27.4,0,5.014285714,82.52857143
29.47142857,2,3.271428571,82.28571429
28.05714286,1,4.2,88.35714286
27.4,4,2.542857143,82.72857143
31.18571429,13,3.785714286,90.08571429
27.97142857,0,2.871428571,82.31428571
26.44285714,0,3.071428571,80.94285714
25.67142857,1,2.585714286,91.58571429
28.21428571,0,2.414285714,91.24285714
26.3,0,2.014285714,92.71428571
24.3,2,2.614285714,91.42857143
24.9,0,2.071428571,95.58571429
26.12857143,0,2.185714286,94.97142857
25.95714286,0,2.242857143,97.62857143
26.61428571,1,3.185714286,94.55714286
26.3,0,3.128571429,91.41428571
29,3,2.042857143,95.58571429
27.28571429,3,2.342857143,95.72857143
27.98571429,2,1.985714286,97.4
28.68571429,3,2.014285714,96.87142857
30.61428571,11,2.157142857,89.2
29.35714286,5,2.9,80.77142857
29.44285714,2,2.985714286,78.17142857
27.95714286,0,2.457142857,82.37142857
27.75714286,0,2.8,78.57142857
23.44285714,0,2.871428571,78.77142857
24.74285714,0,2.971428571,86.41428571
25.78571429,0,1.771428571,85.98571429
24.6,0,2.4,77.18571429
26.65714286,1,3.6,78.47142857
26.65714286,0,2.814285714,82.62857143
26.48571429,11,2.285714286,83.92857143
28.28571429,6,2.242857143,85.47142857
29.28571429,12,3.128571429,85.05714286
28.9,3,2.428571429,77.05714286
31.71428571,13,2.3,67.98571429
32.5,31,1.928571429,71.91428571
32.08571429,17,1.671428571,70.05714286
31.1,6,1.842857143,70.5
26.12857143,1,1.7,75.3
27.45714286,0,1.871428571,75.17142857
27.37142857,0,1.842857143,78.64285714
26.14285714,0,1.985714286,81.05714286
24.31428571,0,2.5,77.61428571
23.18571429,0,2,82.27142857
25.04285714,0,1.285714286,84.2
27.17142857,1,1.4,86.14285714
28.42857143,2,1.757142857,76
27.55714286,3,1.714285714,72.42857143
28.31428571,0,2.385714286,76.07142857
29.5,10,2.1,72.62857143
29.1,4,2.285714286,69.88571429
31.41428571,17,1.842857143,66.47142857
29.98571429,13,1.628571429,77.14285714
26.8,1,1.457142857,75.21666667
27.67142857,3,1.485714286,75.38571429
25.05714286,0,2.457142857,64.45714286
26,0,1.985714286,72.92857143
22.3,0,2.671428571,86.42857143
24.57142857,1,1.5,83.34285714
25.47142857,2,1.714285714,84.42857143
24.05714286,1,1.9,82.22857143
25.4,2,1.757142857,68.85
26.08571429,0,1.85,51.37142857
27.64285714,4,2.542857143,40.6
27.37142857,2,1.728571429,65.45714286
30.9,20,1.485714286,76.95714286
32.82857143,52,1.885714286,76.91428571
34.92857143,87,2.014285714,67.3
33.04285714,55,1.257142857,79.27142857
33.71428571,26,2.614285714,64.22857143
29.88571429,4,1.2,80.02857143
27.38571429,0,2.228571429,59.84285714
26.67142857,2,1.985714286,60.97142857
26.31428571,0,1.885714286,71
26.84285714,3,2.228571429,67.77142857
27.02857143,1,1.885714286,76.44285714
28.85714286,1,1.828571429,75.18571429
29.25714286,1,2,75.68571429
29.75714286,7,1.685714286,74.37142857
31.35714286,8,1.9,73.64285714
30.67142857,10,1.785714286,80.52857143
29.3,5,2.257142857,86.87142857
32.05714286,22,2.128571429,73.07142857
29.27142857,1,2.357142857,82.55714286
28.14285714,3,1.542857143,84.21428571
27.04285714,0,1.614285714,89.18571429
29.91428571,3,1.685714286,75.34285714
28.11428571,0,1.614285714,80.32857143
28.55714286,4,1.7,55.67142857
27.8,1,1.857142857,55.88571429
29.52857143,0,1.985714286,65.11428571
28.52857143,1,1.814285714,73.48571429
29.41428571,2,1.985714286,69.12857143
29.71428571,6,2.085714286,70.24285714
30.58571429,13,2.257142857,68.68571429
29.11428571,3,2.957142857,73.8
29.35714286,2,1.528571429,88.35714286
31.97142857,20,1.7,86.24285714
33.04285714,35,1.9,79.38571429
31.84285714,20,1.571428571,79.52857143
30.95714286,3,1.328571429,77.97142857
29.35714286,4,1.757142857,75.88571429
29.31428571,1,1.785714286,77.35714286
26.44285714,2,1.642857143,67.48571429
27.77142857,3,1.728571429,63.48571429
28.88571429,5,1.857142857,70.82857143
27.94285714,4,1.985714286,80.07142857
29.68571429,6,1.885714286,76.42857143
29.21428571,3,1.928571429,78.82857143
28.47142857,29,1.657142857,85.98571429
30.11428571,23,2,78.92857143
30.88571429,28,1.814285714,76.37142857
31.31428571,17,1.757142857,85.91428571
33.95714286,66,1.385714286,79.04285714
34.77142857,84,1.671428571,76.24285714
34.45714286,58,1.571428571,73.32857143
32.64285714,27,2.171428571,65.45714286
27.01428571,1,2.671428571,74.34285714
29.01428571,1,1.314285714,82.08571429
28.35714286,1,1.471428571,77.04285714
26.94285714,0,1.914285714,60.31428571
27.6,2,2.171428571,59.62857143
25.92857143,1,2.185714286,67.61428571
28.61428571,3,2.128571429,62.9
30.87142857,7,1.7,63.58571429
30.32857143,13,1.7,79.61428571
30,22,1.842857143,89.32857143
30.58571429,28,1.628571429,89.84285714
31.65714286,27,1.457142857,87.77142857
30.52857143,17,1.671428571,84.04285714
33.17142857,60,1.528571429,78.2
31.24285714,30,1.514285714,82.5
27.74285714,4,2.342857143,87.12857143
29.91428571,0,2.114285714,86.28571429
26.85714286,1,1.385714286,69.1
27.41428571,2,1.257142857,77.45714286
24.9,2,1.985714286,60.9
27.38571429,11,1.585714286,69.47142857
28.8,5,1.728571429,69.95714286
26.57142857,1,2.485714286,66.92857143
29.47142857,6,1.771428571,70.7
29.47142857,3,1.685714286,85.25714286
29.37142857,10,2.271428571,82.31428571
29.55714286,20,1.971428571,80.72857143
33.94285714,84,1.428571429,72.91428571
35.52857143,204,1.6,71.88571429
37.1,284,1.871428571,63.31428571
35.45714286,172,2.128571429,73.15714286
35.58571429,116,2.471428571,59.9
32.1,16,2.285714286,73.17142857
28.22857143,2,1.8,86.1
28.44285714,1,2.114285714,72.61428571
26.61428571,0,1.971428571,68.11428571
26.94285714,3,1.9,60.8
27.54285714,1,1.542857143,71.35714286
29.08571429,0,1.457142857,65.57142857
30.54285714,4,1.442857143,64.95714286
30.44285714,4,1.385714286,66.77142857
31.22857143,1,1.685714286,67.47142857
30.92857143,1,1.385714286,74.95714286
31.58571429,4,1.785714286,76.58571429
32.6,3,1.671428571,68.64285714
28.78571429,1,1.8,79.38571429
28.7,0,1.257142857,77.01428571
28.12857143,0,1.3,85.21428571
28.75714286,1,1.414285714,73.01428571
28.3,0,1.228571429,72.1
29.7,2,1.128571429,37.25714286
28.24285714,0,1.342857143,43.7
30.3,3,1.685714286,48.27142857
29.17142857,2,1.542857143,59.1
28.55714286,2,1.642857143,63.3
29.94285714,0,1.671428571,54.88571429
28.57142857,4,1.657142857,65.61428571
28.71428571,1,2.485714286,62.77142857
29.72857143,2,1.571428571,77.77142857
32.32857143,26,1.528571429,69.57142857
34.24285714,11,1.7,62.81428571
30.62857143,3,1.414285714,64.52857143
30.44285714,3,1.585714286,64.84285714
28.55714286,0,1.657142857,67.18571429
29.07142857,1,1.585714286,63.45714286
27.04285714,2,1.442857143,53.04285714
27.58571429,1,1.571428571,47.38571429
28.21428571,2,1.728571429,58.37142857
28.32857143,4,1.642857143,65.54285714
29.78571429,4,1.814285714,63.3
29.27142857,0,1.742857143,65.05714286
29.05714286,5,1.428571429,79.17142857
29.68571429,4,1.657142857,68.55714286
30.84285714,4,1.928571429,64.44285714
32.54285714,18,1.585714286,70.05714286
33.21428571,17,1.357142857,68.51428571
34.68571429,25,1.528571429,62.41428571
34.75714286,14,1.528571429,56.25714286
32.15714286,8,1.928571429,55.18571429
26.35714286,0,2.071428571,70.62857143
29.25714286,0,1.271428571,71.05714286
27.68571429,0,1.314285714,68.6
25.17142857,0,1.7,61.31428571
28.81428571,2,1.871428571,44.92857143
26.28571429,0,1.942857143,55.01428571
29.81428571,1,1.871428571,43.84285714
32.3,4,1.557142857,47.01428571
30.15714286,1,1.6,67.64285714
30.97142857,6,1.557142857,81.87142857
32,19,1.642857143,76.72857143
31.75714286,24,1.471428571,75.25714286
31.5,1,1.828571429,71.14285714
33,34,1.642857143,67.7
32.01428571,15,1.671428571,69.07142857
28.72857143,1,1.528571429,77.54285714
30.98571429,6,1.8,72.12857143
26.61428571,0,1.6,58.38571429
27.07142857,0,1.285714286,65.91428571
25.28571429,0,1.9,51.58571429
28.91428571,1,1.6,53.38571429
29.17142857,0,1.728571429,56.65714286
26.52857143,0,2.514285714,55.98571429
29.7,3,1.628571429,56.48571429
30.14285714,4,1.642857143,67.82857143
28.51428571,1,1.971428571,75.35714286
30.47142857,12,1.657142857,69.44285714
34.88571429,38,1.5,61.14285714
36.12857143,46,1.571428571,62.85714286
36.72857143,54,1.8,54.91428571
35.01428571,31,1.942857143,64.25714286
35.34285714,14,2.285714286,52.37142857
32.02857143,4,2.342857143,62.14285714
28.72857143,1,1.571428571,79.27142857
28.18571429,0,1.857142857,66.61428571
25.97142857,0,1.8,66.11428571
26.27142857,0,2.028571429,74.2
26.74285714,0,1.785714286,81.61428571
27.94285714,1,1.614285714,77.71428571
29.17142857,2,1.4,76.58571429
29.14285714,2,1.414285714,78.78571429
29.7,5,1.757142857,80.72857143
29.52857143,1,1.285714286,84.78571429
31.14285714,2,2.114285714,82.84285714
31.6,3,1.842857143,81.95714286
27.85714286,1,2.257142857,88.02857143
27.62857143,1,0.985714286,87.44285714
27.01428571,1,1.271428571,92.87142857
27.71428571,0,1.528571429,83.44285714
27.81428571,0,1.657142857,80.52857143
29.75714286,2,1.342857143,50.7
28.31428571,0,1.457142857,54.3
30.37142857,0,1.571428571,62.01428571
28.68571429,1,1.557142857,74.38571429
28.01428571,0,1.485714286,76.54285714
29.32857143,0,1.514285714,71.41428571
27.97142857,5,1.757142857,81.5
28.84285714,1,2.514285714,77.28571429
29.64285714,2,1.5,87.85714286
32.22857143,5,1.457142857,81.17142857
34.07142857,5,1.7,74.84285714
31.32857143,3,1.228571429,75.95714286
30.52857143,1,1.4,76.01428571
28.68571429,0,1.585714286,78.64285714
29.3,0,1.5,77.22857143
27.37142857,0,1.371428571,62.7
27.55714286,1,1.471428571,62.71428571
28.54285714,0,1.628571429,69.41428571
28.5,2,1.614285714,74.74285714
29.55714286,1,1.7,75.11428571
29.08571429,2,1.642857143,78.54285714
28.92857143,5,1.4,87.52857143
29.88571429,1,1.571428571,80.22857143
31.12857143,1,2.085714286,76.57142857
32.75714286,9,1.514285714,76.52857143
34.08571429,10,1.085714286,75.37142857
35.24285714,14,1.128571429,73.81428571
35.82857143,14,1.4,67.1
32.67142857,4,1.742857143,67.62857143
26.54285714,0,2.271428571,76.24285714
29.02857143,0,1,80.3
27.18571429,0,1.085714286,79.85714286
24.8,0,1.414285714,74.4
28.35714286,0,1.914285714,57.92857143
25.9,0,2.1,65.42857143
29.67142857,1,1.885714286,54.44285714
32.87142857,2,1.385714286,57.7
29.75714286,1,1.314285714,78.4
29.55714286,3,1.514285714,89.27142857
31.15714286,7,1.542857143,86.77142857
31.54285714,13,1.585714286,85.3
31.65714286,1,2.171428571,82.24285714
32.55714286,6,1.714285714,82.27142857
32.04285714,9,1.157142857,82.71428571
27.97142857,1,1.757142857,90.05714286
30.14285714,2,1.7,84.41428571
26.77142857,0,1.271428571,72.52857143
26.6,0,1.042857143,81.28571429
25.24285714,0,1.9,61.68571429
28.88571429,0,1.228571429,64.75714286
29.58571429,1,1.471428571,64.48571429
26.57142857,1,2.728571429,67.38571429
29.84285714,3,1.314285714,65.81428571
29.9,1,1.6,78.32857143
27.4,0,1.842857143,86.55714286
30.08571429,7,1.742857143,79.35714286
34.5,12,1.028571429,71.47142857
36.08571429,29,1.142857143,72.27142857
37.05714286,10,1.785714286,63.37142857
35.78571429,8,1.7,71.81428571
36.08571429,9,2.385714286,62.9
32.27142857,1,2.242857143,71.02857143
27.92857143,0,1.471428571,89.9
27.85714286,0,1.814285714,76.65714286
25.75714286,0,1.742857143,76.12857143
26.32857143,4,2.328571429,64.32857143
26.42857143,2,2.485714286,69.94285714
29.3,2,2.428571429,55.45714286
30.4,1,1.771428571,62.88571429
30.14285714,0,1.942857143,72.01428571
30.77142857,2,1.985714286,70.05714286
30.74285714,0,1.542857143,72.97142857
34.42857143,6,2.257142857,61.72857143
33.72857143,1,2.1,64.32857143
28.97142857,3,1.914285714,84.34285714
28.6,0,1.742857143,77.71428571
29.01428571,1,1.814285714,80.35714286
28,0,1.985714286,76.34285714
28.6,0,1.685714286,71.48571429
31.75714286,0,1.828571429,41.75714286
29.27142857,1,1.857142857,51.05714286
30.62857143,0,1.928571429,59.61428571
27.57142857,0,2.728571429,70.91428571
27.1,0,2.557142857,77.38571429
28.7,0,2.257142857,67.48571429
25.77142857,5,3.042857143,80.45714286
28.44285714,4,2.557142857,69.48571429
29.58571429,0,2.3,74.22857143
35.17142857,18,1.671428571,66.5
36.81428571,22,1.742857143,63.9
31.17142857,2,1.471428571,74.67142857
28.64285714,0,1.557142857,80.54285714
28.18571429,0,1.928571429,80.47142857
28.24285714,0,1.885714286,81.38571429
27.88571429,0,1.885714286,60.78571429
28.42857143,0,2.185714286,54.34285714
27.01428571,2,2.142857143,74.32857143
29,2,2.114285714,65.8
28.95714286,0,2.5,66.15714286
28.88571429,0,1.814285714,71.12857143
30.21428571,5,2.071428571,79.18571429
30.05714286,0,1.942857143,71.27142857
30.72857143,2,2.585714286,67.91428571
35.17142857,8,1.485714286,69.92857143
34.02857143,3,1.628571429,73.92857143
35.85714286,7,1.628571429,63.85714286
34.88571429,8,2.614285714,62.65714286
32.67142857,1,2.571428571,62.81428571
25.88571429,0,2.742857143,71.15714286
28.6,0,1.528571429,79.6
25.81428571,0,1.5,82.6
24.38571429,0,1.728571429,71.92857143
31.35714286,0,2.085714286,51.3
27.71428571,0,2.771428571,56.62857143
28.95714286,0,3.142857143,57.64285714
33.55714286,0,1.7,56.51428571
30.07142857,0,1.785714286,72.47142857
31.75714286,1,1.542857143,77.8
34.54285714,6,2.042857143,67.5
35.04285714,6,1.814285714,71.55714286
31.61428571,7,2.242857143,77.04285714
32.18571429,4,2.342857143,78.98571429
32.2,2,2.142857143,75.02857143
28.3,1,2.114285714,87.37142857
33.04285714,1,2.042857143,73.64285714
28.92857143,0,2.071428571,60.24285714
27.78571429,0,1.528571429,75.24285714
25.82857143,1,2.457142857,57.02857143
29.8,1,1.585714286,58.47142857
29.88571429,1,2.114285714,54.04285714
23.24285714,1,3.357142857,66.44285714
30.28571429,1,1.742857143,52.88571429
30.25714286,1,1.614285714,68.84285714
27.38571429,2,2.857142857,81.88571429
30.38571429,3,2.071428571,69.91428571
36.82857143,31,1.457142857,56.81428571
37.22857143,46,1.9,56.32857143
36.48571429,11,2.7,57.02857143
33.94285714,15,2.857142857,65.95714286
32.65714286,7,2.414285714,65.75714286
32.77142857,0,2.814285714,63.35714286
28.51428571,1,1.614285714,83.57142857
27.34285714,0,2.042857143,68.88571429
24.7,0,2.171428571,74.57142857
27.98571429,0,1.514285714,62.21428571
27.78571429,0,1.457142857,75.68571429
29.34285714,1,1.285714286,71.72857143
29.57142857,1,1.557142857,71.77142857
29.38571429,1,1.257142857,78.71428571
30.34285714,3,1.3,80.47142857
29.4,1,1.328571429,85.27142857
32.55714286,6,1.857142857,79.42857143
32.67142857,9,1.571428571,72.72857143
29.1,1,1.657142857,84.34285714
28.78571429,1,1.085714286,85
28.5,0,1.157142857,91
29.28571429,0,1.157142857,85.67142857
29.05714286,0,1.271428571,76.92857143
30.21428571,3,1.414285714,46.87142857
28.61428571,3,1.5,52.82857143
30.42857143,2,1.614285714,59.42857143
27.81428571,1,1.371428571,80.04285714
27.22857143,2,1.4,79.17142857
27.25714286,0,1.714285714,79.45714286
28.14285714,7,1.385714286,83.21428571
28.78571429,3,2.214285714,80.97142857
29.65714286,4,1.5,88.38571429
31.95714286,16,1.671428571,84.4
34.12857143,20,1.914285714,73.55714286
30.61428571,8,1.557142857,80.68571429
29.08571429,4,1.328571429,81.97142857
28.08571429,1,1.9,80.74285714
28.71428571,0,1.457142857,80.17142857
27.02857143,1,1.571428571,65.35714286
26.71428571,0,1.6,72.07142857
27.9,4,1.328571429,77.48571429
27.81428571,0,1.671428571,80.67142857
27.91428571,2,1.8,84.58571429
28.07142857,1,1.742857143,83.07142857
29.52857143,16,1.557142857,89.52857143
29.45714286,3,1.642857143,84.97142857
31.9,17,1.642857143,75.64285714
33.45714286,16,1.857142857,77.9
33.08571429,13,1.442857143,79.85714286
34.07142857,25,1.528571429,76.77142857
34.45714286,19,1.542857143,75.8
31.77142857,4,1.371428571,74.22857143
27.22857143,1,3.057142857,73.6
29.38571429,1,1.371428571,78.61428571
27.58571429,0,1.157142857,81.3
25.58571429,0,1.314285714,71.38571429
27.1,1,1.828571429,64.7
25.67142857,0,2.071428571,67.87142857
28.38571429,1,1.728571429,62.7
30.68571429,2,1.457142857,66.74285714
29.1,3,1.228571429,83.64285714
30.1,3,1.828571429,88.35714286
31.08571429,10,1.628571429,87.62857143
31.55714286,23,1.014285714,87.75714286
31.87142857,12,0.985714286,85.47142857
32.72857143,35,0.857142857,82.88571429
31.72857143,19,1.042857143,79.25714286
28.77142857,3,1.042857143,86.04285714
30.98571429,2,1.685714286,82.28571429
27.22857143,1,1.514285714,68.02857143
26.44285714,0,0.985714286,79.51428571
25.98571429,1,1.728571429,67.01428571
28.04285714,0,1.442857143,74.15714286
29.1,1,1.5,76.95714286
27.7,0,1.614285714,79.02857143
28.75714286,1,1.314285714,78.98571429
29.98571429,4,1.628571429,85.88571429
28.55714286,1,1.5,91.5
30.94285714,9,1.514285714,86.42857143
34.25714286,38,1.271428571,80.98571429
35.51428571,57,1.614285714,80.97142857
36.5,38,1.771428571,72.61428571
35.34285714,38,1.5,84
36.22857143,31,2,69.4
